frame,track_id,class_id,class_name,confidence,center_x,center_y
58,1,2,car,0.9059,237,217
59,3,2,car,0.8693,397,199
66,5,2,car,0.6671,568,213
77,8,2,car,0.7597,399,207
84,9,2,car,0.8658,251,201
87,12,2,car,0.8956,575,218
96,14,2,car,0.9068,401,200
112,16,2,car,0.8561,570,199
114,20,2,car,0.8553,410,200
130,24,2,car,0.8809,570,212
141,27,2,car,0.6077,415,205
154,29,2,car,0.9175,289,202
155,30,2,car,0.6237,412,202
163,36,2,car,0.6252,550,200
166,33,2,car,0.8905,292,200
185,40,2,car,0.8240,553,211
202,42,2,car,0.9015,396,209
207,52,2,car,0.8671,533,201
207,51,2,car,0.9071,159,206
226,62,2,car,0.9200,410,208
233,74,2,car,0.9201,299,206
252,87,2,car,0.9106,559,204
263,89,2,car,0.9079,306,204
279,95,2,car,0.8826,284,200
280,92,2,car,0.8998,422,206
289,100,2,car,0.6869,162,203
297,93,2,car,0.8995,560,203
